eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,cc_rel,mod_rel
0.5,0.0,0.9890445206324386,0.6818181818181818,0.027900270595427844,1.5162134163674996,0.32359542583642686,0.003966233113620744
0.5,1.0,0.9152273222515023,0.7727272727272727,0.027247946649993506,1.4731048221690481,0.3129008406925373,0.018903726334922495
0.5,2.0,0.914004371829742,0.6818181818181818,0.028592381026248646,1.5373430861465174,0.31760015402114744,0.017065319716761028
1.0,0.0,0.9980729172957621,0.7272727272727273,0.01869839497937495,1.0541163870546224,0.2295441464786193,0.00922978555295294
1.0,1.0,0.9980774511229751,0.6818181818181818,0.01823973425226524,1.3306184433573978,0.2346963491101472,0.0068875147500071995
1.0,2.0,0.9048182785888278,0.6818181818181818,0.018193575764680472,1.4142739952735999,0.23475365699626613,0.016937089116483756
1.5,0.0,0.9000228817029624,0.8181818181818182,0.010997411939410109,1.2835045749843028,0.15329294481927408,0.024169285598905816
1.5,1.0,0.9855034621646077,0.8181818181818182,0.009483432994085479,1.2139774984514298,0.1479186306186124,0.006426397762618304
1.5,2.0,0.9843138972486408,0.8181818181818182,0.00960883709581718,1.2730502139050437,0.14352731462229534,0.01297808559127284
2.0,0.0,0.9125758717815553,0.7727272727272727,0.0057063631486758476,1.358762409453167,0.0710209486905236,0.026980430754718718
2.0,1.0,0.9987620664546285,0.7727272727272727,0.006100645590768763,1.2119131313323226,0.075214493981247,0.010010349181338554
2.0,2.0,0.9912399935956518,0.6818181818181818,0.006658188315637354,1.556482036410528,0.06947280560706799,0.009827051396715211
2.5,0.0,0.9828568632662981,0.7272727272727273,0.004188815590941832,1.1279651523088328,0.02410748031396142,0.010075642183135346
2.5,1.0,0.9779829676559512,0.7727272727272727,0.0033850738069874545,1.1673035572539856,0.006926175531961639,0.013577601835695632
2.5,2.0,0.9865672396183097,0.7727272727272727,0.0030558182980236926,1.2984850242188055,0.03296878867106861,0.01386285623617317
3.0,0.0,0.9900531814608126,0.6818181818181818,0.0024317814467353345,0.9883489247225029,0.003712377146301517,0.011119803025530558
3.0,1.0,0.9807718829173432,0.8636363636363636,0.001821554173656346,0.9864104425094056,0.006264735015463709,0.008641991735184764
3.0,2.0,0.9696738955023632,0.8181818181818182,0.0021607364826104207,0.8493290363737591,0.004464949765335865,0.011332431727530554
3.5,0.0,0.9816269038232436,0.7727272727272727,0.0014884469165799585,0.9284895927974323,0.004246766396734949,0.010061700081171717
3.5,1.0,0.9853575012335966,0.7727272727272727,0.000970896890504351,1.0493011961859273,0.00021671064013242106,0.007835515912497757
3.5,2.0,0.9792050424501116,0.8181818181818182,0.0014295647283569587,1.0659977411202155,0.01692283109685055,0.010660377029553815
